Rotation Angle (deg),# Features (Pair 1),# Features (Pair 2),# Matches,Inlier (%),Pair 1 D&D Time (s),Pair 2 D&D Time (s),Matching Time (s),Outlier Rejection and Homography Calc. Time (s),Success
0.0,1423.0,1065.0,529.0,0.9357277882797732,0.2142019271850586,0.11986804008483887,0.004715919494628906,0.0003871917724609375,1.0
15.0,1423.0,1192.0,426.0,0.92018779342723,0.1907062530517578,0.21868896484375,0.0064716339111328125,0.0003323554992675781,1.0
30.0,1423.0,1169.0,422.0,0.9028436018957346,0.2061479091644287,0.2968571186065674,0.005844593048095703,0.00031065940856933594,1.0
45.0,1423.0,1178.0,427.0,0.892271662763466,0.2115335464477539,0.3472883701324463,0.00588536262512207,0.0003523826599121094,1.0
60.0,1423.0,1181.0,439.0,0.9134396355353075,0.19770598411560059,0.2948620319366455,0.006241798400878906,0.0003299713134765625,1.0
75.0,1423.0,1180.0,435.0,0.9103448275862069,0.20065736770629883,0.20401787757873535,0.006299495697021484,0.0004265308380126953,1.0
90.0,1423.0,1059.0,501.0,0.9261477045908184,0.22039198875427246,0.11548304557800293,0.006978511810302734,0.0003859996795654297,1.0
105.0,1423.0,1224.0,425.0,0.9294117647058824,0.1893312931060791,0.23026633262634277,0.006625175476074219,0.00034928321838378906,1.0
120.0,1423.0,1164.0,425.0,0.9011764705882352,0.1878955364227295,0.303908109664917,0.0061833858489990234,0.0003707408905029297,1.0
135.0,1423.0,1189.0,430.0,0.8976744186046511,0.1900804042816162,0.28574156761169434,0.0068171024322509766,0.0003883838653564453,1.0
150.0,1423.0,1195.0,447.0,0.9172259507829977,0.19235491752624512,0.25781965255737305,0.007273197174072266,0.00038814544677734375,1.0
165.0,1423.0,1152.0,423.0,0.8534278959810875,0.19494986534118652,0.20163249969482422,0.007404804229736328,0.0003905296325683594,1.0
180.0,1423.0,1048.0,492.0,0.9247967479674797,0.2207930088043213,0.11344003677368164,0.006203413009643555,0.0003883838653564453,1.0
,,,,,,,,,
Scale Difference,# Features (Pair 1),# Features (Pair 2),# Matches,Inlier (%),Pair 1 D&D Time (s),Pair 2 D&D Time (s),Matching Time (s),Outlier Rejection and Homography Calc. Time (s),Success
1.0,1423,1065,529,0.9357277882797732,0.21414589881896973,0.11618614196777344,0.005904674530029297,0.0004184246063232422,1
1.5,1423,2484,462,0.841991341991342,0.18857741355895996,0.29143404960632324,0.014643669128417969,0.0003917217254638672,1
2.0,1423,3431,553,0.7884267631103075,0.18770837783813477,0.47221970558166504,0.01938486099243164,0.00036525726318359375,1
2.5,1423,3980,569,0.7469244288224957,0.1849226951599121,0.7739603519439697,0.020782470703125,0.0005087852478027344,1
3.0,1423,3977,524,0.7347328244274809,0.18441987037658691,1.0919570922851562,0.021361351013183594,0.0004067420959472656,1
3.5,1423,4012,529,0.7164461247637051,0.18200230598449707,1.4449026584625244,0.019896745681762695,0.00042128562927246094,1
4.0,1423,3983,560,0.7303571428571428,0.18390440940856934,1.889995813369751,0.02109360694885254,0.00042510032653808594,1
4.5,1423,3939,568,0.7095070422535211,0.20584321022033691,2.53025221824646,0.018271684646606445,0.0004608631134033203,1
5.0,1423,4032,583,0.7186963979416809,0.19098830223083496,3.118366003036499,0.019839763641357422,0.0004448890686035156,1
